,repository_name,repository_language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-direct2.5,Python
75,ml-dms-dataset,Python
76,ml-dprecs,Jupyter Notebook
77,ml-dr,Python
78,ml-duet,Python
79,ml-entity-deduction-arena,Python
80,ml-entropy-reconstruction,Python
81,ml-envmapnet,Python
82,ml-equivariant-neural-rendering,Jupyter Notebook
83,ml-facelit,Python
84,ml-famae,Python
85,ml-fastvit,Python
86,ml-fct,Python
87,ml-ferret,Python
88,ml-finerecon,Python
89,ml-flair,Jupyter Notebook
90,ml-gaudi,
91,ml-gendered-translation,Ruby
92,ml-gmpi,Python
93,ml-gsn,Python
94,ml-hd-gist,Python
95,ml-heart-rate-models,Python
96,ml-hierarchical-confusion-matrix,TypeScript
97,ml-hugs,Python
98,ml-hypersim,Python
99,ml-interspeech2022-phi_rtn,
100,ml-jointnet,Python
101,ml-keyframer,JavaScript
102,ml-kge,Python
103,ml-knowledge-conflicts,Python
104,ml-live-pose,
105,ml-llarp,Python
106,ml-lucid-datagen,Python
107,ml-mdm,Python
108,ml-mgie,Python
109,ml-mia-bench,Jupyter Notebook
110,ml-MixupMP,Python
111,ml-mkqa,Python
112,ml-mobileclip,Python
113,ml-mobileone,Swift
114,ml-mofi,Python
115,ml-multiple-futures-prediction,Python
116,ml-ncg,Python
117,ml-neilf,Python
118,ml-neilfpp,Python
119,ml-neuman,Python
120,ml-no-token-left-behind,Jupyter Notebook
121,ml-np-rasp,Python
122,ml-nvas3d,Python
123,ml-ogen,Python
124,ml-pgdvs,Python
125,ml-planner,Python
126,ml-pointconvformer,Python
127,ml-pointersect,Python
128,ml-probabilistic-attention,Python
129,ml-projunit,Python
130,ml-qrecc,Python
131,ml-quant,Python
132,ml-recurrent-drafter,Python
133,ml-reed,Python
134,ml-rlgrad,Python
135,ml-robust-expert-augmentations,Python
136,ml-rpm-bench,Python
137,ml-sad,Python
138,ml-selfcond,Python
139,ml-shuffling-amplification,Python
140,ml-sigma-reparam,Python
141,ml-spatial-librispeech,
142,ml-spin,Python
143,ml-stable-diffusion,Python
144,ml-stabledreamer,
145,ml-stuttering-events-dataset,Python
146,ml-superposition-prompting,Python
147,ml-symphony,Svelte
148,ml-tic-clip,Python
149,ml-tract,Python
150,ml-transcript-translation-consistency-ratings,
151,ml-translate-vis,TypeScript
152,ml-tree-dst,Python
153,ml-tune-mode-convbn,Python
154,ml-tweak,Python
155,ml-upscale,Jupyter Notebook
156,ml-uwac,Python
157,ml-veclip,Jupyter Notebook
158,ml-vfi-smiff,Python
159,ml-vfm-kt,
160,ml-vision-transformers-ane,Python
161,music-feed-examples,Java
162,openjdk,Java
163,password-manager-resources,JavaScript
164,pfl-research,Jupyter Notebook
165,pkl,Java
166,pkl-evolution,
167,pkl-go,Go
168,pkl-go-examples,Go
169,pkl-intellij,Kotlin
170,pkl-jvm-examples,Groovy
171,pkl-k8s,Pkl
172,pkl-k8s-examples,
173,pkl-lang.org,JavaScript
174,pkl-lsp,Pkl
175,pkl-neovim,Scheme
176,pkl-package-docs,Kotlin
177,pkl-pantry,Pkl
178,pkl-project-commons,
179,pkl-spring,Java
180,pkl-swift,Swift
181,pkl-swift-examples,Swift
182,pkl-vscode,TypeScript
183,pkl.tmbundle,
184,pytorch-speech-features,Python
185,rules_pkl,Starlark
186,sample-backyard-birds,Swift
187,sample-cloudkit-coredatasync,Swift
188,sample-cloudkit-encryption,Swift
189,sample-cloudkit-privatedb,Swift
190,sample-cloudkit-privatedb-sync,Swift
191,sample-cloudkit-queries,Swift
192,sample-cloudkit-sharing,Swift
193,sample-cloudkit-sync-engine,Swift
194,sample-cloudkit-tooling,JavaScript
195,sample-cloudkit-zonesharing,Swift
196,sample-food-truck,Swift
197,servicetalk,Java
198,swift-3-api-guidelines-review,Swift
199,swift-algorithms,Swift
200,swift-aoc-starter-example,Swift
201,swift-argument-parser,Swift
202,swift-asn1,Swift
203,swift-async-algorithms,Swift
204,swift-async-dns-resolver,Swift
205,swift-atomics,Swift
206,swift-cassandra-client,Swift
207,swift-certificates,Swift
208,swift-clang,C++
209,swift-clang-tools-extra,C++
210,swift-cluster-membership,Swift
211,swift-cmake-examples,CMake
212,swift-collections,Swift
213,swift-collections-benchmark,Swift
214,swift-compiler-rt,C
215,swift-corelibs-foundation,C
216,swift-corelibs-libdispatch,C
217,swift-crypto,C
218,swift-distributed-actors,Swift
219,swift-distributed-tracing,Swift
220,swift-distributed-tracing-baggage-core,Swift
221,swift-distributed-tracing-extras,Swift
222,swift-embedded-examples,Swift
223,swift-evolution-staging,Swift
224,swift-for-wasm-examples,Swift
225,swift-foundation,Swift
226,swift-foundation-icu,C
227,swift-getting-started-cli,Swift
228,swift-getting-started-package-library,Swift
229,swift-homomorphic-encryption,Swift
230,swift-homomorphic-encryption-protobuf,
231,swift-http-structured-headers,Swift
232,swift-http-types,Swift
233,swift-internals,HTML
234,swift-issues,
235,swift-libcxx,C++
236,swift-llbuild2,Swift
237,swift-lldb,C++
238,swift-llvm,LLVM
239,swift-log,Swift
240,swift-matter-examples,Swift
241,swift-metrics,Swift
242,swift-metrics-extras,Swift
243,swift-migration-guide,Markdown
244,swift-mmio,Swift
245,swift-nio,Swift
246,swift-nio-examples,Swift
247,swift-nio-extras,Swift
248,swift-nio-http2,Swift
249,swift-nio-imap,Swift
250,swift-nio-nghttp2-support,Swift
251,swift-nio-oblivious-http,Swift
252,swift-nio-ssh,Swift
253,swift-nio-ssl,C
254,swift-nio-ssl-support,Swift
255,swift-nio-transport-services,Swift
256,swift-nio-zlib-support,Swift
257,swift-numerics,Swift
258,swift-openapi-generator,Swift
259,swift-openapi-runtime,Swift
260,swift-openapi-urlsession,Swift
261,swift-playdate-examples,Swift
262,swift-protobuf,Swift
263,swift-protobuf-plugin,
264,swift-protobuf-test-conformance,
265,swift-sample-distributed-actors-transport,Swift
266,swift-service-context,Swift
267,swift-service-discovery,Swift
268,swift-standard-library-preview,Swift
269,swift-statsd-client,Swift
270,swift-string-processing-benchmarks,Swift
271,swift-system,Swift
272,swift-tools-support-async,Swift
273,swift-xcode-playground-support,Swift
274,swiftpm-on-llbuild2,Swift
275,tensorflow_macos,Shell
276,ToolSandbox,Python
277,tree-sitter-pkl,C
278,turicreate,C++
279,unityplugins,C#
280,VideoFlashingReduction,Mathematica
281,vqg-multimodal-assistant,Python
